hhld_inc_binary,hhld_inc_num,q7,q11,q13,q56,lost_all_savings_q8,changed_employers_q12c,age_oldest
"<$50,000 per year",24500,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,61
"$50,000+ per year",105000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,48
"<$50,000 per year",23000,One or more,Not employed at this time,NA,Yes,No,NA,42
"<$50,000 per year",46000,One or more,Not employed at this time,NA,No,Yes,NA,64
"<$50,000 per year",14000,One or more,Not employed at this time,NA,Yes,No,NA,67
"<$50,000 per year",11000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,Yes,No,79
"<$50,000 per year",36000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,59
"<$50,000 per year",12000,None,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,41
"$50,000+ per year",220000,None,Not employed at this time,NA,No,No,NA,21
"<$50,000 per year",49000,One or more,Not employed at this time,NA,Yes,No,NA,60
"<$50,000 per year",36500,None,Not employed at this time,NA,No,No,NA,50
"$50,000+ per year",52000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,52
"$50,000+ per year",109000,None,Employed part-time,Do all of your work from home,Yes,No,No,34
"<$50,000 per year",1000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,28
"$50,000+ per year",243000,None,Not employed at this time,NA,Yes,No,NA,62
"$50,000+ per year",141000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,55
"$50,000+ per year",131000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,33
"$50,000+ per year",77000,None,Not employed at this time,NA,No,No,NA,67
"$50,000+ per year",106000,None,Not employed at this time,NA,No,No,NA,34
"$50,000+ per year",96000,None,Not employed at this time,NA,No,No,NA,34
"<$50,000 per year",45500,One or more,Not employed at this time,NA,Yes,Yes,NA,66
"$50,000+ per year",217000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,28
"$50,000+ per year",116000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,63
"$50,000+ per year",109000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,30
"<$50,000 per year",23500,One or more,Not employed at this time,NA,Yes,No,NA,34
"$50,000+ per year",58000,None,Not employed at this time,NA,Yes,No,NA,35
"$50,000+ per year",83000,One or more,Employed full time,Do all of your work from home,Yes,No,Yes,32
"<$50,000 per year",40500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,22
"$50,000+ per year",188000,None,Not employed at this time,NA,No,No,NA,63
"$50,000+ per year",121000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,58
"$50,000+ per year",246000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,67
"<$50,000 per year",43500,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,60
"$50,000+ per year",137000,None,Not employed at this time,NA,Yes,No,NA,59
"$50,000+ per year",90000,None,Not employed at this time,NA,No,No,NA,42
"$50,000+ per year",233000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,58
"$50,000+ per year",74000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,51
"$50,000+ per year",58000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,Yes,31
"<$50,000 per year",47500,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,No,33
"$50,000+ per year",55000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,58
"$50,000+ per year",209000,None,Not employed at this time,NA,Yes,No,NA,62
"<$50,000 per year",3500,One or more,Employed part-time,Do all of your work from home,No,No,No,41
"<$50,000 per year",32000,None,Not employed at this time,NA,Yes,No,NA,88
"<$50,000 per year",3000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,49
"$50,000+ per year",58000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,No,Yes,No,69
"<$50,000 per year",45500,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,42
"<$50,000 per year",4000,None,Not employed at this time,NA,Yes,No,NA,45
"$50,000+ per year",244000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,Yes,57
"$50,000+ per year",101000,One or more,Not employed at this time,NA,Yes,Yes,NA,32
"<$50,000 per year",8000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,21
"<$50,000 per year",10000,One or more,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,Yes,Yes,65
"<$50,000 per year",28500,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,Yes,No,34
"<$50,000 per year",35000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,35
"$50,000+ per year",140000,None,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,Yes,46
"$50,000+ per year",249000,None,Not employed at this time,NA,No,No,NA,41
"$50,000+ per year",76000,None,Not employed at this time,NA,Yes,No,NA,34
"<$50,000 per year",500,None,Not employed at this time,NA,Yes,No,NA,21
"$50,000+ per year",214000,None,Not employed at this time,NA,Yes,No,NA,23
"<$50,000 per year",3500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,25
"<$50,000 per year",34000,None,Employed part-time,Do all of your work from home,Yes,No,No,40
"<$50,000 per year",7500,One or more,Not employed at this time,NA,No,Yes,NA,53
"$50,000+ per year",107000,None,Employed full time,Do all of your work from home,No,No,No,35
"$50,000+ per year",189000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,48
"$50,000+ per year",123000,None,Not employed at this time,NA,No,No,NA,39
"$50,000+ per year",190000,None,Not employed at this time,NA,Yes,No,NA,52
"<$50,000 per year",11000,None,Employed full time,Do all of your work from home,Yes,No,No,52
"$50,000+ per year",88000,None,Not employed at this time,NA,Yes,No,NA,50
"<$50,000 per year",16000,One or more,Not employed at this time,NA,Yes,No,NA,56
"$50,000+ per year",139000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,47
"$50,000+ per year",157000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,Yes,76
"$50,000+ per year",230000,None,Not employed at this time,NA,Don’t know/Refused/Web blank,No,NA,37
"$50,000+ per year",121000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,36
"<$50,000 per year",49500,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,64
"<$50,000 per year",30000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,Yes,67
"<$50,000 per year",11000,None,Employed full time,Do all of your work from home,No,No,No,18
"$50,000+ per year",183000,One or more,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,Yes,No,40
"$50,000+ per year",116000,None,Not employed at this time,NA,No,No,NA,85
"<$50,000 per year",40500,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,48
"$50,000+ per year",104000,None,Not employed at this time,NA,No,No,NA,48
"<$50,000 per year",4000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,46
"$50,000+ per year",95000,None,Not employed at this time,NA,No,No,NA,51
"<$50,000 per year",20000,One or more,Not employed at this time,NA,No,Yes,NA,43
"<$50,000 per year",14500,One or more,Not employed at this time,NA,No,No,NA,43
"<$50,000 per year",41000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,59
"$50,000+ per year",147000,None,Employed part-time,Do all of your work at a workplace outside of your home,Yes,No,No,35
"$50,000+ per year",194000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,34
"$50,000+ per year",83000,None,Not employed at this time,NA,No,No,NA,71
"<$50,000 per year",3000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,37
"<$50,000 per year",47000,One or more,Employed full time,Do all of your work from home,No,No,No,47
"$50,000+ per year",238000,None,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,70
"$50,000+ per year",133000,None,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,Yes,25
"<$50,000 per year",1000,One or more,Not employed at this time,NA,Yes,Yes,NA,63
"<$50,000 per year",17500,One or more,Not employed at this time,NA,No,No,NA,69
"<$50,000 per year",48500,None,Not employed at this time,NA,Yes,No,NA,47
"<$50,000 per year",11000,One or more,Employed full time,Do all of your work at a workplace outside of your home,Yes,Yes,No,24
"<$50,000 per year",500,None,Not employed at this time,NA,Yes,No,NA,55
"<$50,000 per year",46500,One or more,Not employed at this time,NA,No,Yes,NA,70
"<$50,000 per year",4500,None,Not employed at this time,NA,Yes,No,NA,65
"$50,000+ per year",54000,None,Not employed at this time,NA,No,No,NA,47
"$50,000+ per year",171000,None,Not employed at this time,NA,Yes,No,NA,66
"<$50,000 per year",3000,One or more,Employed part-time,Do all of your work at a workplace outside of your home,No,Yes,No,31
"<$50,000 per year",2500,One or more,Not employed at this time,NA,No,Yes,NA,22
"<$50,000 per year",44000,One or more,Not employed at this time,NA,No,No,NA,18
"$50,000+ per year",111000,None,Not employed at this time,NA,Don’t know/Refused/Web blank,No,NA,59
"<$50,000 per year",39000,None,Not employed at this time,NA,No,No,NA,25
"$50,000+ per year",176000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",Yes,No,Yes,55
"<$50,000 per year",43500,One or more,Not employed at this time,NA,No,No,NA,33
"<$50,000 per year",11000,One or more,Not employed at this time,NA,Yes,No,NA,43
"$50,000+ per year",71000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,56
"<$50,000 per year",45000,None,Employed part-time,Do all of your work at a workplace outside of your home,No,No,No,38
"$50,000+ per year",72000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,Yes,68
"<$50,000 per year",39000,One or more,Not employed at this time,NA,No,Yes,NA,41
"$50,000+ per year",201000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,19
"$50,000+ per year",146000,None,Employed full time,Do all of your work at a workplace outside of your home,Yes,No,No,35
"<$50,000 per year",32500,One or more,Not employed at this time,NA,Yes,No,NA,42
"$50,000+ per year",59000,None,Not employed at this time,NA,Yes,No,NA,63
"$50,000+ per year",196000,None,Not employed at this time,NA,Yes,No,NA,62
"$50,000+ per year",139000,None,Employed part-time,Do all of your work from home,No,No,No,39
"<$50,000 per year",32500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,64
"<$50,000 per year",39500,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,Yes,No,32
"$50,000+ per year",131000,None,Employed full time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,38
"<$50,000 per year",19500,One or more,Employed part-time,"Work sometimes at home, and sometimes at a workplace outside of your home",No,No,No,54
"<$50,000 per year",2000,None,Employed part-time,Do all of your work from home,Yes,No,Yes,37
"<$50,000 per year",8000,One or more,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,42
"$50,000+ per year",78000,None,Employed full time,Do all of your work at a workplace outside of your home,No,No,No,46
